"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 04- 16","8,563,000","8,101,000","8,612,000","7,934,000","8.09K","5.61%"
"2020- 04- 15","8,108,000","8,378,000","8,415,000","8,091,000","3.10K","-3.15%"
"2020- 04- 14","8,372,000","8,380,000","8,456,000","8,278,000","3.62K","-0.08%"
"2020- 04- 13","8,379,000","8,464,000","8,466,000","8,166,000","5.38K","-1.07%"
"2020- 04- 12","8,470,000","8,464,000","8,751,000","8,343,000","4.19K","0.08%"
"2020- 04- 11","8,463,000","8,404,000","8,534,000","8,328,000","2.65K","0.58%"
"2020- 04- 10","8,414,000","8,808,000","8,824,000","8,248,000","6.53K","-4.43%"
"2020- 04- 09","8,804,000","8,813,000","8,853,000","8,650,000","4.20K","-0.18%"
"2020- 04- 08","8,820,000","8,660,000","8,912,000","8,622,000","5.00K","1.94%"
"2020- 04- 07","8,652,000","8,782,000","8,951,000","8,546,000","8.50K","-1.51%"
"2020- 04- 06","8,785,000","8,199,000","8,790,000","8,187,000","8.57K","7.16%"
"2020- 04- 05","8,198,000","8,248,000","8,272,000","8,100,000","2.88K","-0.62%"
"2020- 04- 04","8,249,000","8,151,000","8,320,000","8,101,000","3.96K","1.14%"
"2020- 04- 03","8,156,000","8,175,000","8,430,000","8,044,000","7.82K","-0.42%"
"2020- 04- 02","8,190,000","8,098,000","8,504,000","7,991,000","12.24K","1.60%"
"2020- 04- 01","8,061,000","7,806,000","8,096,000","7,530,000","6.73K","3.36%"
"2020- 03- 31","7,799,000","7,795,000","7,988,000","7,740,000","6.67K","0.05%"
"2020- 03- 30","7,795,000","7,218,000","8,005,000","7,205,000","9.17K","7.95%"
"2020- 03- 29","7,221,000","7,657,000","7,679,000","7,221,000","4.44K","-5.72%"
"2020- 03- 28","7,659,000","7,858,000","7,858,000","7,412,000","7.70K","-2.87%"
"2020- 03- 27","7,885,000","8,283,000","8,363,000","7,826,000","6.75K","-4.82%"
"2020- 03- 26","8,284,000","8,288,000","8,336,000","8,099,000","6.16K","0.16%"
"2020- 03- 25","8,271,000","8,346,000","8,529,000","8,084,000","12.63K","-1.14%"
"2020- 03- 24","8,366,000","8,070,000","8,400,000","7,899,000","15.16K","3.98%"
"2020- 03- 23","8,046,000","7,350,000","8,173,000","7,226,000","16.87K","9.02%"
"2020- 03- 22","7,380,000","7,740,000","7,967,000","7,349,000","8.79K","-4.63%"
"2020- 03- 21","7,738,000","7,820,000","8,090,000","7,415,000","11.66K","-0.64%"
"2020- 03- 20","7,788,000","7,682,000","8,625,000","7,407,000","24.14K","1.41%"
"2020- 03- 19","7,680,000","6,747,000","8,105,000","6,619,000","22.52K","13.90%"
"2020- 03- 18","6,743,000","6,773,000","6,892,000","6,378,000","13.63K","-0.75%"
"2020- 03- 17","6,794,000","6,446,000","6,885,000","6,280,000","14.93K","6.41%"
"2020- 03- 16","6,385,000","6,909,000","6,912,000","6,007,000","19.38K","-7.58%"
"2020- 03- 15","6,909,000","6,823,000","7,298,000","6,660,000","10.78K","1.10%"
"2020- 03- 14","6,834,000","7,255,000","7,281,000","6,601,000","12.80K","-5.88%"
"2020- 03- 13","7,261,000","6,350,000","7,470,000","5,500,000","50.28K","14.04%"
"2020- 03- 12","6,367,000","9,510,000","9,537,000","6,000,000","29.85K","-33.04%"
"2020- 03- 11","9,508,000","9,559,000","9,630,000","9,176,000","4.11K","-0.60%"
"2020- 03- 10","9,565,000","9,726,000","9,844,000","9,421,000","4.44K","-1.71%"
"2020- 03- 09","9,731,000","9,883,000","10,058,000","9,363,000","7.69K","-1.50%"
"2020- 03- 08","9,879,000","10,679,000","10,697,000","9,822,000","5.04K","-7.48%"
"2020- 03- 07","10,678,000","10,854,000","10,975,000","10,649,000","2.34K","-1.49%"
"2020- 03- 06","10,840,000","10,791,000","10,887,000","10,721,000","2.35K","0.45%"
"2020- 03- 05","10,791,000","10,495,000","10,867,000","10,494,000","3.58K","2.74%"
"2020- 03- 04","10,503,000","10,502,000","10,584,000","10,422,000","2.25K","0.03%"
"2020- 03- 03","10,500,000","10,668,000","10,689,000","10,407,000","2.86K","-1.64%"
"2020- 03- 02","10,675,000","10,353,000","10,743,000","10,330,000","3.01K","3.12%"
"2020- 03- 01","10,352,000","10,380,000","10,555,000","10,289,000","3.27K","-0.26%"
"2020- 02- 29","10,379,000","10,578,000","10,631,000","10,379,000","2.14K","-1.88%"
"2020- 02- 28","10,578,000","10,692,000","10,827,000","10,309,000","5.18K","-0.97%"
"2020- 02- 27","10,682,000","10,741,000","10,862,000","10,315,000","6.44K","-0.55%"
"2020- 02- 26","10,741,000","11,323,000","11,408,000","10,629,000","7.47K","-5.20%"
"2020- 02- 25","11,330,000","11,634,000","11,639,000","11,285,000","3.89K","-2.60%"
