"기준일자","상품명","당일신규실행건수","당일신규실행금액(억원)"
"2021-05-03","취업후상환학자금_등록금","0","0"
"2021-05-03","취업후상환학자금_생활비","0","0"
"2021-05-04","일반상환학자금_등록금","13","0"
"2021-05-04","일반상환학자금_생활비","916","10"
"2021-05-04","취업후상환학자금_등록금","223","5"
"2021-05-04","취업후상환학자금_생활비","2648","23"
"2021-05-05","일반상환학자금_등록금","22","0"
"2021-05-05","일반상환학자금_생활비","829","9"
"2021-05-05","취업후상환학자금_등록금","297","6"
"2021-05-05","취업후상환학자금_생활비","2136","19"
"2021-05-06","일반상환학자금_등록금","0","0"
"2021-05-06","일반상환학자금_생활비","0","0"
"2021-05-06","취업후상환학자금_등록금","0","0"
"2021-05-06","취업후상환학자금_생활비","0","0"
"2021-05-07","일반상환학자금_등록금","26","0"
"2021-05-07","일반상환학자금_생활비","1213","13"
"2021-05-07","취업후상환학자금_등록금","354","7"
"2021-05-07","취업후상환학자금_생활비","2939","27"
"2021-05-08","일반상환학자금_등록금","27","0"
"2021-05-08","일반상환학자금_생활비","1010","11"
"2021-05-08","취업후상환학자금_등록금","334","7"
"2021-05-08","취업후상환학자금_생활비","2472","21"
"2021-05-09","일반상환학자금_등록금","0","0"
"2021-05-09","일반상환학자금_생활비","0","0"
"2021-05-09","취업후상환학자금_등록금","0","0"
"2021-05-09","취업후상환학자금_생활비","0","0"
"2021-05-10","일반상환학자금_등록금","0","0"
"2021-05-10","일반상환학자금_생활비","0","0"
"2021-05-10","취업후상환학자금_등록금","0","0"
"2021-05-10","취업후상환학자금_생활비","0","0"
"2021-05-11","일반상환학자금_등록금","0","0"
"2021-05-11","일반상환학자금_생활비","0","0"
"2021-05-11","취업후상환학자금_등록금","412","8"
"2021-05-11","취업후상환학자금_생활비","317","4"
"2021-05-12","일반상환학자금_등록금","0","0"
"2021-05-12","일반상환학자금_생활비","0","0"
"2021-05-12","취업후상환학자금_등록금","264","5"
"2021-05-12","취업후상환학자금_생활비","221","3"
"2021-05-13","일반상환학자금_등록금","0","0"
"2021-05-13","일반상환학자금_생활비","0","0"
"2021-05-13","취업후상환학자금_등록금","389","7"
"2021-05-13","취업후상환학자금_생활비","345","5"
"2021-05-14","일반상환학자금_등록금","0","0"
"2021-05-14","일반상환학자금_생활비","0","0"
"2021-05-14","취업후상환학자금_등록금","192","3"
"2021-05-14","취업후상환학자금_생활비","166","2"
"2021-05-15","일반상환학자금_등록금","0","0"
"2021-05-15","일반상환학자금_생활비","0","0"
"2021-05-15","취업후상환학자금_등록금","230","5"
"2021-05-15","취업후상환학자금_생활비","166","2"
"2021-05-16","일반상환학자금_등록금","0","0"
"2021-05-16","일반상환학자금_생활비","0","0"
"2021-05-16","취업후상환학자금_등록금","0","0"
"2021-05-16","취업후상환학자금_생활비","0","0"
"2021-05-17","일반상환학자금_등록금","0","0"
"2021-05-17","일반상환학자금_생활비","0","0"
"2021-05-17","취업후상환학자금_등록금","0","0"
"2021-05-17","취업후상환학자금_생활비","0","0"
